table_name,city,ratio,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path
Table 1,city3,0.01,TSLEMerged,0.999946930406465,0.000101012696737232,0.9976656027493322,0.005258379107392217,0.9995151515151516,0.001644201208030379,0.9980311322591185,0.004353879489728806,100,results/main_scad/scad_city3_ratio0.01.xlsx
Table 1,city3,0.01,TSLERandom,0.9998986853214329,0.0001261772701061083,0.9961430304779271,0.005067954147848206,0.9980606060606061,0.003306225865935973,0.9965237821853162,0.004539783978755815,25,results/main_scad/scad_city3_ratio0.01.xlsx
Table 1,city3,0.01,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,results/main_scad/scad_city3_ratio0.01.xlsx
Table 1,city3,0.05,TSLESCAD,0.9571592997053218,0.001323399254898923,0.5872067743633004,0.01393410796381974,0.5732662968099861,0.01362840688686188,0.5843599297043122,0.01377106101618121,100,results/main_scad/scad_city3_ratio0.05.xlsx
Table 1,city3,0.05,TSLEMerged,0.998997708358461,0.0005081346446246655,0.9912625683633327,0.005955934292563459,0.9978407720144752,0.001621034725971122,0.9925658439404106,0.004874314811784864,100,results/main_scad/scad_city3_ratio0.05.xlsx
Table 1,city3,0.05,TSLERandom,0.9995006633699194,0.0002614932565463633,0.9964278063962171,0.001990038113684364,0.998648974668275,0.001256841136562711,0.9968708468689865,0.001756768316019636,100,results/main_scad/scad_city3_ratio0.05.xlsx
Table 1,city3,0.05,TSLEAddition,0.9999987938728743,8.442889880593274e-06,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city3_ratio0.05.xlsx
Table 1,city3,0.10,TSLESCAD,0.9137046281851273,0.001962105824126292,0.5997124630725342,0.009998343689927185,0.5709257975034673,0.00907618043828972,0.5937188211485743,0.009610451494396667,100,results/main_scad/scad_city3_ratio0.10.xlsx
Table 1,city3,0.10,TSLEMerged,0.995960680255699,0.001415568366299591,0.9821940156927171,0.008683915006700902,0.9960193003618818,0.001530588364348552,0.9849158437271144,0.007021330404419224,100,results/main_scad/scad_city3_ratio0.10.xlsx
Table 1,city3,0.10,TSLERandom,0.9984048968761305,0.0005005336748416275,0.9945799426603825,0.001852046394086268,0.997792521109771,0.001017210439815899,0.9952203253271571,0.0015749197676886,100,results/main_scad/scad_city3_ratio0.10.xlsx
